"No","Species","Weight","Length1","Length2","Length3","Height","Width","Sex"
100,"Perch",5.9,7.5,8.4,8.8,24,16,NA
101,"Perch",685,34,36.5,39,27.9,17.6,"female"
102,"Common Bream",475,28.4,31,36.2,39.4,14.1,NA
103,"Common Bream",950,38,41,46.5,37.9,13.7,NA
104,"Common Bream",610,30.9,33.5,38.6,40.5,13.3,NA
105,"Common Bream",500,28.7,31,36.2,39.7,13.3,NA
106,"Perch",1100,40.1,43,45.5,27.5,16.3,"female"
107,"Roach",160,21.1,22.5,25,25.6,15.2,"female"
108,"Smelt",9.8,11.4,12,13.2,16.7,8.7,"female"
109,"Roach",150,20.4,22,24.7,23.5,15.2,"female"
110,"Perch",250,25.4,27.5,28.9,25.2,15.8,"female"
111,"Perch",1015,37,40,42.4,29.2,17.6,"female"
112,"Pike",300,34.8,37.3,39.8,15.8,10.1,NA
113,"Whitefish",800,33.7,36.4,39.6,29.7,16.6,"female"
114,"Common Bream",500,26.8,29.7,34.5,41.1,15.3,NA
115,"Common Bream",290,24,26.3,31.2,40,13.8,NA
116,"Perch",225,22,24,25.5,28.6,14.6,NA
117,"Perch",850,36.9,40,42.3,28.2,16.8,"female"
118,"Common Bream",340,23.9,26.5,31.1,39.8,15.1,NA
119,"Perch",556,32,34.5,36.5,28.1,17.5,NA
120,"Whitefish",306,25.6,28,30.8,28.5,15.2,NA
121,"Roach",87,18.2,19.8,22.2,25.3,14.3,NA
122,"Roach",161,22,23.4,26.7,25.9,13.6,NA
123,"Perch",700,34.5,37,39.4,27.5,15.9,"female"
124,"Silver Bream",170,19,20.7,23.2,40.5,14.7,"female"
125,"Perch",1000,39.8,43,45.2,26.4,16.1,"female"
126,"Roach",120,18.6,20,22.2,28,16.1,NA
127,"Common Bream",500,29.1,31.5,36.4,37.8,12,NA
128,"Perch",170,21.5,23.5,25,25.1,14.9,NA
129,"Silver Bream",200,21.2,23,25.8,40.1,14.2,NA
130,"Perch",250,25.9,28,29.4,26.6,14.3,NA
131,"Whitefish",270,24.1,26.5,29.3,27.8,14.5,NA
132,"Roach",180,23.6,25.2,27.9,25.4,14,NA
133,"Perch",1000,41.1,44,46.6,26.8,16.3,"female"
134,"Common Bream",242,23.2,25.4,30,38.4,13.4,NA
135,"Perch",260,25.4,27.5,28.9,24.8,15,"female"
136,"Perch",40,13.8,15,16,23.9,15.2,NA
137,"Smelt",19.7,13.2,14.3,15.2,18.9,13.6,"female"
138,"Roach",160,20.5,22.5,25.3,27.8,15.1,"female"
139,"Perch",840,32.5,35,37.3,30.8,20.9,"female"
140,"Perch",135,20,22,23.5,25,15,NA
141,"Roach",145,20.5,22,24.3,27.3,14.6,"female"
142,"Pike",200,30,32.3,34.8,16,9.7,NA
143,"Smelt",9.8,10.7,11.2,12.4,16.8,10.3,"male"
144,"Perch",125,19,21,22.5,25.3,16.3,"male"
145,"Roach",120,19.4,21,23.7,25.8,13.9,"female"
146,"Roach",272,25,27,30.6,28,15.6,"female"
147,"Common Bream",363,26.3,29,33.5,38,13.3,NA
148,"Common Bream",NA,29.5,32,37.3,37.3,13.6,"male"
149,"Pike",770,44.8,48,51.2,15,10.5,"female"
150,"Silver Bream",300,24,26,29,39.2,14.6,"female"
151,"Pike",1550,56,60,64,15,9.6,"female"
152,"Common Bream",685,31.4,34,39.2,40.8,13.7,NA
153,"Common Bream",680,31.8,35,40.6,38.1,15.1,NA
154,"Pike",1250,52,56,59.7,17.9,11.7,NA
155,"Common Bream",650,31,33.5,38.7,37.4,14.8,NA
156,"Perch",180,23,25,26.5,24.3,13.9,"female"
157,"Common Bream",975,37.4,41,45.9,40.6,14.7,"female"
158,"Smelt",12.2,12.1,13,13.8,16.5,9.1,"female"
159,"Roach",0,19,20.5,22.8,28.4,14.7,NA
