ID Tender;tahun;Agency;Satuan Kerja;Nama Paket;Pagu;thn_pengumuman;bln_pengumuman;Kode Anggaran;Akun;E1;JenisBelanja;Kategori;Sistem_pengadan;HPS;jumlah_paket;sistem_pengadaan;metode_pengadaan;metode_evaluasi;cara_pembayaran;kualifikasi_usaha;sumber_dana;status_penyedia;tkdn;jadwal_awal_pengadaan;jadwal_akhir_pengadaan;lokasi;propinsi;pernah_gagal
21676011;2018;Kementerian Keuangan;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;Pengadaan Jasa Pengelolaan Gedung (Building Management) Kantor Pusat DJP untuk TA 2018;25296280000;2017;11;015.04.119091.00.01.00.0000.000.000.520000;520000;04 - DJP;Barang;Jasa Lainnya;Tender;24160000000;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Lumsum;Perusahaan Non Kecil;APBN;penyedia murni;tidak;2017-11-20;2017-12-30;-;-;0
21681011;2018;Kementerian Keuangan;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;Pengadaan Alat Tulis Kantor pada Kantor Pusat Direktorat Jenderal Pajak Tahun Anggaran 2018;4388455000;2017;11;015.04.119091.00.01.00.0000.000.000.520000;520000;04 - DJP;Barang;Pengadaan Barang;Tender;2709423860;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil atau Non Kecil;APBN;penyedia murni;tidak;2017-11-20;2017-12-30;-;-;0
21702011;2018;Kementerian Keuangan;SEKRETARIAT PENGADILAN PAJAK;Pengadaan Jasa Tenaga Satuan Pengamanan Tahun Anggaran 2018;2235501000;2017;12;015.01.119106.00.01.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Jasa Lainnya;Tender;2169516160;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-11-22;2017-12-24;-;-;0
21728011;2018;Kementerian Keuangan;KANTOR PUSAT DIREKTORAT JENDERAL PERBENDAHARAAN;Pengadaan Jasa Pengiriman Surat/Dokumen/Buku dan Barang Lainnya Lingkup Kantor Pusat DJPB TA 2018;3600000000;2017;12;015.08.527010.00.01.00.0000.000.000.520000;520000;08 - DJPBN;Barang;Jasa Lainnya;Tender;3410953063;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Non Kecil;APBN;penyedia murni;tidak;2017-12-17;2017-12-31;-;-;0
21740011;2018;Kementerian Keuangan;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;Penyedia Jasa Konsultansi Konsultan Perencana Perbaikan dan Penambahan Sistem ME dan Ruang Pimpinan;1287182000;2017;12;015.04.119091.00.01.00.0000.000.000.530000;530000;04 - DJP;Modal;Jasa Konsultasi;Tender;1147217500;1;Seleksi Umum ; Prakualifikasi Dua File ; Kualitas dan Biaya;Lumsum;;APBN;penyedia murni;tidak;2017-11-20;2017-12-30;-;-;0
21743011;2018;Kementerian Keuangan;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;Penyedia Jasa Konsultansi Konsultan Manajemen Konstruksi Perbaikan & Penambahan Sistem ME  & R. Pimp;1002942550;2017;12;015.04.119091.00.01.00.0000.000.000.530000;530000;04 - DJP;Modal;Jasa Konsultasi;Tender;975529500;1;Seleksi Umum ; Prakualifikasi Dua File ; Kualitas dan Biaya;Lumsum;;APBN;penyedia murni;tidak;2017-11-20;2017-12-30;-;-;0
21776011;2018;Kementerian Keuangan;SEKRETARIAT PENGADILAN PAJAK;Pengadaan Jasa Tenaga Petugas Kebersihan, Pramubakti, Pengemudi, dan Penerima Tamu TA 2018;5908453000;2017;12;015.01.119106.00.01.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Jasa Lainnya;Tender;5817434248;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil atau Non Kecil;APBN;penyedia murni;tidak;2017-11-22;2017-12-24;-;-;0
21779011;2018;Kementerian Keuangan;LEMBAGA NATIONAL SINGLE WINDOW;Pengadaan PDE Kepabeanan Tertentu Dalam Kerangka INSW;96090634000;2017;12;015.05.675515.00.01.00.0000.000.000.520000;520000;13 - LNSW;Barang;Jasa Lainnya;Tender;76860131000;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Non Kecil;APBN;penyedia murni;tidak;2017-10-31;2017-12-30;-;-;0
21790011;2018;Kementerian Keuangan;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;Layanan Komunikasi Data Intranet Ditjen Pajak Tahun Anggaran 2018;86426788000;2017;12;015.04.119091.01.54.12.1656.501.001.521219;521219;04 - DJP;Barang;Jasa Lainnya;Tender;57418567619;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Non Kecil;APBN;penyedia murni;tidak;2017-12-01;2017-12-01;-;-;0
21802011;2018;Kementerian Keuangan;KANTOR PELAYANAN PAJAK PRATAMA PANGKALAN KERINCI;Pengadaan Jasa Cleaning Service KPP Pratama Pangkalan Kerinci Tahun 2018;330000000;2017;12;015.04.663513.00.09.00.0000.000.000.520000;520000;04 - DJP;Barang;Jasa Lainnya;Tender;314220675;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-11-13;2017-12-28;-;-;0
21818011;2018;Kementerian Keuangan;KANTOR PUSAT PENGOLAHAN DATA DAN DOKUMEN PERPAJAKAN;Jasa Kebersihan (Cleaning Service);1200000000;2017;12;015.04.672863.00.01.00.0000.000.000.520000;520000;04 - DJP;Barang;Jasa Lainnya;Tender;1199901996;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Lumsum;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-12-31;2018-12-30;-;-;0
21854011;2018;Kementerian Keuangan;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;ATS Software Oracle TA 2018;12457704000;2017;12;015.01.672906.00.01.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Jasa Lainnya;Tender;10770769317;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Gabungan Lumsum dan Harga Satuan;Perusahaan Kecil atau Non Kecil;APBN;penyedia murni;tidak;2017-12-04;2017-12-28;-;-;0
21855011;2018;Kementerian Keuangan;PUSAT PENDIDIKAN DAN PELATIHAN ANGGARAN DAN PERBENDAHARAAN  BPPK;PENGADAAN JASA KONSUMSI DIKLAT PUSDIKLAT ANGGARAN DAN PERBENDAHARAAN CATURWULAN I TA 2018;1064181600;2017;12;015.11.670138.00.02.00.0000.000.000.520000;520000;11 - BPPK;Barang;Jasa Lainnya;Tender;981315000;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Gabungan Lumsum dan Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-12-14;2018-01-02;-;-;0
21857011;2018;Kementerian Keuangan;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;Sewa Komunikasi Data Eksternal Kemenkeu TA 2018;46690884000;2017;12;015.01.672906.00.01.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Jasa Lainnya;Tender;33313724400;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil atau Non Kecil;APBN;penyedia murni;tidak;2017-12-03;2017-12-28;-;-;0
21867011;2018;Kementerian Keuangan;SEKRETARIAT JENDERAL;Jasa Pekerjaan Pemeliharaan Halaman/Taman Sekretariat Jenderal Kementerian Keuangan TA 2018;7121357101;2017;12;015.01.409294.00.01.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Jasa Lainnya;Tender;6104601000;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Non Kecil;APBN;penyedia murni;tidak;2017-12-05;2017-12-28;-;-;0
21868011;2018;Kementerian Keuangan;SEKRETARIAT JENDERAL;Sewa Pengharum, Penyegar Rruangan & Hygiene Service Sekretariat Jenderal Kementerian Keuangan TA 201;1149984000;2017;12;015.01.409294.00.01.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Jasa Lainnya;Tender;658680000;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-12-05;2017-12-28;-;-;0
21869011;2018;Kementerian Keuangan;LEMBAGA PENGELOLA DANA PENDIDIKAN;Pengadaan Satpam dan Pengemudi;959868000;2017;12;015.01.691117.00.01.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Jasa Lainnya;Tender;739122000;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-12-08;2017-12-18;-;-;0
21871011;2018;Kementerian Keuangan;SEKRETARIAT JENDERAL;Pemeliharaan Peralatan dan Instalasi Mekanikal dan Elektrikal Gedung Kantor Pusat Kementerian Keuang;19185573000;2017;12;015.01.409294.00.01.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Jasa Lainnya;Tender;15574435000;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Non Kecil;APBN;penyedia murni;tidak;2017-11-29;2018-03-30;-;-;0
21875011;2018;Kementerian Keuangan;BADAN KEBIJAKAN FISKAL;Pengadaan Sewa Mesin Fotokopi untuk Badan Kebijakan Fiskal Tahun Anggaran 2018;1680000000;2017;12;015.12.411880.00.01.00.0000.000.000.520000;520000;12 - BKF;Barang;Jasa Lainnya;Tender;1674710400;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-12-04;2018-01-01;-;-;0
21876011;2018;Kementerian Keuangan;KANTOR PELAYANAN PAJAK PRATAMA SURABAYA KARANGPILANG;Jasa Paket Kebersihan KPP Pratama Surabaya Karangpilang T. A 2018;805000000;2017;12;015.04.636139.00.05.00.0000.000.000.520000;520000;04 - DJP;Barang;Jasa Lainnya;Tender;801201597;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Lumsum;Perusahaan Kecil;APBN;penyedia murni;tidak;2018-01-01;2018-01-01;-;-;0
21878011;2018;Kementerian Keuangan;SEKRETARIAT JENDERAL;Penyediaan Jasa Teknisi Telepon di lingkungan Sekretariat Jenderal Kementerian Keuangan TA 2018;426659766;2017;12;015.01.409294.00.01.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Jasa Lainnya;Tender;322323000;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-11-30;2017-12-28;-;-;0
21880011;2018;Kementerian Keuangan;KANTOR PELAYANAN PAJAK PRATAMA BINJAI;PENGADAAN JASA KEAMANAN GEDUNG DJP JALAN JAMBI NO. 1, RAMBUNG BARAT, BINJAI;360000000;2017;12;015.04.560820.00.07.00.0000.000.000.520000;520000;04 - DJP;Barang;Jasa Lainnya;Tender;356049164;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Gabungan Lumsum dan Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-11-06;2017-12-28;-;-;0
21895011;2018;Kementerian Keuangan;KANTOR PENGELOLAAN TIK DAN BMN SURABAYA;Pengadaan Jasa Tenaga Kerja Layanan Kebersihan (Cleaning Service) pada KPTIK-BMN Surabaya TA 2018;6071102400;2017;12;015.01.689341.00.05.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Jasa Lainnya;Tender;6071102400;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Non Kecil;APBN;penyedia murni;tidak;2017-12-03;2017-12-30;-;-;0
21901011;2018;Kementerian Keuangan;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;Sewa Mesin Fotokopi TA 2018;600000000;2017;12;015.01.672906.00.01.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Jasa Lainnya;Tender;360136920;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Lumsum;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-12-03;2017-12-28;-;-;0
21908011;2018;Kementerian Keuangan;DITJEN ANGGARAN;Pengadaan Sewa Mesin Foto Copy Kebutuhan Layanan Perkantoran  DJA TA. 2018;2476800000;2017;12;015.03.630931.00.01.00.0000.000.000.520000;520000;03 - DJA;Barang;Jasa Lainnya;Tender;2366902849;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Gabungan Lumsum dan Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-12-07;2017-12-28;-;-;0
21915011;2018;Kementerian Keuangan;KANTOR PELAYANAN PAJAK WAJIB PAJAK BESAR TIGA;Pengadaan Penyediaan Jasa Pengiriman Surat Dinas KPP Wajib Pajak Besar Tiga Tahun Anggaran 2018;200000000;2017;12;015.04.119131.00.01.00.0000.000.000.520000;520000;04 - DJP;Barang;Jasa Lainnya;Tender;200000000;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Non Kecil;APBN;penyedia murni;tidak;2017-10-08;2018-01-01;-;-;0
21916011;2018;Kementerian Keuangan;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;Pengadaan Jasa Sewa Mesin Fotocopy Kantor Pusat DJBC Tahun Anggaran 2018;2584752450;2017;12;015.05.410640.00.01.00.0000.000.000.520000;520000;05 - DJBC;Barang;Jasa Lainnya;Tender Cepat;2584752450;1;Tender Cepat ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil atau Non Kecil;APBN;penyedia murni;tidak;2017-11-30;2018-12-29;-;-;0
21922011;2018;Kementerian Keuangan;LEMBAGA PENGELOLA DANA PENDIDIKAN;Pengadaan Jasa Cleaning Service LPDP 2018;1114971000;2017;12;015.01.691117.01.51.01.5171.001.002.525112;525112;01 - SETJEN;Barang;Jasa Lainnya;Tender;777376020;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-12-01;2017-12-01;-;-;0
21924011;2018;Kementerian Keuangan;KANTOR PELAYANAN PERBENDAHARAAN NEGARA SAMARINDA;Jasa Konsultansi Pengawasan Pembangunan Gedung KPPN Samarinda Tahap II Tahun Anggaran 2018;190680000;2017;12;015.08.528221.00.16.00.0000.000.000.530000;530000;08 - DJPBN;Modal;Jasa Konsultasi;Tender;190240000;1;Seleksi Sederhana ; Pascakualifikasi Satu File ; Pagu Anggaran;Lumsum;;APBN;penyedia murni;tidak;2018-01-01;2018-03-30;-;-;0
21933011;2018;Kementerian Keuangan;KANTOR WILAYAH DJP WAJIB PAJAK BESAR;Pengadaan Jasa Pengelolaan Gedung (Building Management) Dr.K.R.T. Radjiman Wedyodiningrat TA 2018;11847402000;2017;12;015.04.648901.00.01.00.0000.000.000.520000;520000;04 - DJP;Barang;Jasa Lainnya;Tender;11843321862;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Lumsum;Perusahaan Non Kecil;APBN;penyedia murni;tidak;2017-12-05;2017-12-28;-;-;0
21940011;2018;Kementerian Keuangan;KANTOR PENGELOLAAN TIK DAN BMN MAKASSAR;Pengadaan Jasa Satuan Pengamanan GKN Makassar Tahun 2018;3524240000;2017;12;015.01.689362.00.19.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Jasa Lainnya;Tender;3070110000;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-11-27;2017-12-30;-;-;0
21942011;2018;Kementerian Keuangan;KANTOR PUSAT PENGOLAHAN DATA DAN DOKUMEN PERPAJAKAN;Pemeliharaan Perangkat Server Fujitsu;2559715000;2017;12;015.04.672863.00.01.00.0000.000.000.520000;520000;04 - DJP;Barang;Jasa Lainnya;Tender;1674558792;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Lumsum;Perusahaan Kecil atau Non Kecil;APBN;penyedia murni;tidak;2017-12-31;2018-12-30;-;-;0
21952011;2018;Kementerian Keuangan;KANTOR WILAYAH DJP RIAU;Pengadaan Jasa Cleaning Service Tahun 2018;944624400;2017;12;015.04.410625.00.09.00.0000.000.000.520000;520000;04 - DJP;Barang;Jasa Lainnya;Tender;934624400;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil atau Non Kecil;APBN;penyedia murni;tidak;2017-11-10;2017-12-30;-;-;0
21970011;2018;Kementerian Keuangan;LEMBAGA PENGELOLA DANA PENDIDIKAN;Pengadaan Jasa Call Center LPDP 2018;1449600000;2017;12;015.01.691117.01.51.01.5171.001.002.525113;525113;01 - SETJEN;Barang;Jasa Lainnya;Tender;1442540000;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Lumsum;Perusahaan Non Kecil;APBN;penyedia murni;tidak;2017-12-01;2017-12-01;-;-;0
21972011;2018;Kementerian Keuangan;KANTOR PELAYANAN PERBENDAHARAAN NEGARA SAMARINDA;Pembangunan Gedung Kantor KPPN Samarinda Tahap II Tahun Anggaran 2018;8515811000;2017;12;015.08.528221.00.16.00.0000.000.000.530000;530000;08 - DJPBN;Modal;Pekerjaan Konstruksi;Tender;8270590000;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Non Kecil;APBN;penyedia murni;tidak;2018-01-01;2018-03-30;-;-;0
21973011;2018;Kementerian Keuangan;KANTOR PUSAT PENGOLAHAN DATA DAN DOKUMEN PERPAJAKAN;Jasa Pengolahan Data dan Dokumen Perpajakan;23659830000;2017;12;015.04.672863.00.01.00.0000.000.000.520000;520000;04 - DJP;Barang;Jasa Lainnya;Tender;23631445687;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Non Kecil;APBN;penyedia murni;tidak;2017-12-31;2018-12-30;-;-;1
21977011;2018;Kementerian Keuangan;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;ATS Software Microsoft TA 2018;2640000000;2017;12;015.01.672906.00.01.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Jasa Lainnya;Tender;2397718171;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Non Kecil;APBN;penyedia murni;tidak;2017-12-05;2017-12-28;-;-;0
21986011;2018;Kementerian Keuangan;SEKRETARIAT JENDERAL;Pekerjaan Penyediaan Jasa Kebersihan Gedung Sekretariat Jenderal Kementerian Keuangan Tahun Anggaran 2018;7982156000;2017;12;015.01.409294.01.51.01.1632.994.001.002521;002521;01 - SETJEN;Modal;Jasa Lainnya;Tender;7982156000;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil atau Non Kecil;APBN;penyedia murni;tidak;2017-12-01;2017-12-01;-;-;0
21988011;2018;Kementerian Keuangan;KANTOR PELAYANAN PAJAK PRATAMA SIDOARJO SELATAN;JASA LAYANAN KEBERSIHAN(CLEANING SERVICE) GEDUNG DAN HALAMAN KPP PRATAMA SIDOARJO SELATAN TA 2018;246675000;2017;12;015.04.409634.00.05.00.0000.000.000.520000;520000;04 - DJP;Barang;Jasa Lainnya;Tender;246316252;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-12-06;2017-12-28;-;-;0
22011011;2018;Kementerian Keuangan;GEDUNG KEUANGAN NEGARA YOGYAKARTA;Jasa Kebersihan Gedung Keuangan Negara Yogyakarta;383000000;2017;12;015.01.117109.00.04.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Jasa Lainnya;Tender;382850450;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-12-10;2018-01-01;-;-;0
22019011;2018;Kementerian Keuangan;KANTOR PUSAT DIREKTORAT JENDERAL PERBENDAHARAAN;Pengadaan Jasa Pemeliharaan Perangkat Data Center Ditjen Perbendaharaan Tahun Anggaran 2018;6000000000;2017;12;015.08.527010.00.01.00.0000.000.000.520000;520000;08 - DJPBN;Barang;Jasa Lainnya;Tender;5528234426;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Lumsum;Perusahaan Non Kecil;APBN;penyedia murni;tidak;2018-01-31;2018-02-28;-;-;0
